Date,AAPL,ABT,ADBE,AMGN,AMZN,BA,BKNG,BLK,BMY,CAT,COST,CRM,CSCO,CVX,DHR,DIS,FIS,GE,GILD,GOOGL,HON,IBM,INTC,JPM,KO,LIN,LMT,MCD,MDT,META,MMM,MRK,MSFT,NFLX,NKE,NVDA,ORCL,PEP,PFE,PYPL,QCOM,SAP,SBUX,SPGI,T,TSLA,TXN,UNH,V,WMT,ZTS
2001-01-02,452312000,5243919,16813400,6449200,184070000,3762500,396550,54000,4460394,3285000,13349400,,17384600,3957200,4905680,6545261,,7686631,38233600,,10435618,8375531,50342900,7803200,10606000,1530800,1625000,3529800,3569600,,5562835,6332959,82413200,,28993600,290808000,46281000,4267800,11231108,,36380600,1203100,16438400,593000,10764650,,8293000,4878000,,26440800,
2001-01-03,817073600,11035398,15257000,10116600,293608000,6428600,460717,54000,9099295,7564000,16253500,,161938600,5330000,4077255,10278966,,8180764,42412800,,9301745,13357315,78291900,21303200,12469600,1971400,2071200,3265400,4704100,,5686262,10308128,135962200,,30599200,910368000,76389600,7189400,23756633,,47526000,1905800,24014400,1567400,14965437,,15317700,7880400,,59871300,
2001-01-04,739396000,31524108,9609600,9274400,212410000,3868900,531250,65700,14731602,9149400,19779200,,108614900,5514600,3123257,10500253,,5618519,40121600,,3830204,16129843,68769000,26409800,14770600,1555000,2207400,5953800,8124400,,4856238,19205543,112397000,,29224000,815448000,57584400,12373700,34849983,,40355600,1107900,24139200,1434200,13016774,,19354800,25899600,,41436900,
2001-01-05,412356000,16300258,8422200,15381800,175976000,4012600,343950,94500,10095327,7057800,11955900,,17850700,3438200,2062730,6497415,,4755492,107948800,,4414028,8413187,44974700,16215700,7960200,2014800,669000,3999100,7025600,,10006932,9799324,93414600,,22917600,432768000,38415200,5041900,19097637,,31656400,776500,28048000,1053400,9653814,,12625400,8884800,,29427600,
2001-01-08,373699200,10008891,8495600,10770300,208894000,3055100,304950,75800,4596875,3752000,4264300,,92042800,3288000,16823809,5067005,,4843235,104924800,,3736746,6343781,45070800,9938300,9529200,2462200,729700,2803600,3917700,,6561974,5143165,79817600,,17046400,573768000,40644600,3755700,14593684,,23359400,2014800,15412000,1385000,8342127,,10807800,6092000,,25326300,
2001-01-09,588929600,8979488,6550600,9027400,469104000,4372800,357150,17900,5487210,3836600,5973600,,77470000,3825200,9072204,4768779,,4187013,77571200,,5803836,7894267,40814400,7285100,8516200,2033000,1046700,2778100,3930800,,4739509,6389761,114965400,,30744800,302904000,44818600,3427400,11832099,,29433000,1109200,8844800,1879400,7250754,,15945000,5587200,,21632400,
2001-01-10,580781600,7410099,14141800,9254500,220050000,3674200,750450,42500,5673493,3655000,10842500,,3324100,4376200,8369948,3361987,,5175926,53305600,,6665202,8008281,51494300,10857000,7963200,1883400,1042000,3091800,3802700,,5195902,6469199,90230200,,15828800,392928000,64627400,4079800,14925799,,35403600,1317500,20512000,942000,6039823,,10323900,7573200,,29944200,
2001-01-11,803734400,11252373,11450800,7864900,255132000,3385300,1228733,53700,5871123,3371000,5128800,,33695100,5133200,3930257,5959655,,4924238,38502400,,5187495,10078210,64954600,16077700,6909000,2045600,1361500,2179800,3209700,,5011958,6979575,101854800,,12061600,447648000,50906600,3499800,23291292,,25866400,999300,12037600,913000,4998232,,11842400,8792800,,20107200,
2001-01-12,423376800,8935826,10660000,5509600,168684000,3161000,925850,51800,4274636,3494200,7726600,,66957400,5148400,2687620,8352762,,3506128,33148800,,4244105,6744608,51374500,8946800,7212000,1661200,1153200,3284200,4321100,,4372337,5280453,73712000,,10188800,669000000,40234100,3084900,19380530,,22619600,1074500,16648000,1200800,7521644,,10038500,6419200,,21966000,
2001-01-16,306118400,11165717,6434000,5511400,120340000,3274400,918950,116400,3838504,4239400,5344300,,48381800,5990400,4119509,6504714,,4122850,47542400,,4636188,5932807,60301100,10508500,7163600,1226200,858300,4546000,3387100,,5079890,5764943,68462400,,8748000,414984000,31198700,3153700,17175879,,21852600,625700,11405600,2228400,7969686,,7543300,8226800,,24994800,
